iter	MAPE	RMSE
151	0.4892092984	919207.642
152	0.4867254644	917442.5748
153	0.484744424	915793.0801
154	0.4828915709	914350.9678
155	0.482049713	912129.0666
156	0.4801763535	909496.7875
157	0.4784647745	908158.7221
158	0.4767140331	906035.1825
159	0.4750056051	904537.6003
160	0.47347636	903250.1741
161	0.4718880405	901613.864
162	0.4701083644	900119.6555
163	0.4685027561	898292.025
164	0.4669690285	896346.0841
165	0.4655367783	894816.22
166	0.4637704637	893355.5624
167	0.4620518658	891737.7965
168	0.4607599748	890610.5229
169	0.4591788629	889352.1813
170	0.4574597705	888201.0656
171	0.4562671337	886797.6858
172	0.4547182385	885566.5346
173	0.4532937324	883410.3215
174	0.4518258921	881668.9912
175	0.4504595119	880102.3815
176	0.4490909148	879355.8785
177	0.4479366038	877702.9643
178	0.4469726946	876493.3887
179	0.4454847525	875011.8938
180	0.4440947957	873590.4998
181	0.4430483238	872162.2932
182	0.4419712631	870966.0401
183	0.4407969843	869823.8871
184	0.4396042365	868595.1775
185	0.4384713239	867473.534
186	0.4378151721	866237.8266
187	0.436814576	864897.909
188	0.4355787747	863398.3133
189	0.4348766512	862248.6373
190	0.4334025344	861177.0394
191	0.432185024	859900.0405
192	0.4316016251	858776.1846
193	0.4307206306	857556.7432
194	0.4297769086	856419.5733
195	0.4285184367	855672.3878
196	0.4272957248	854844.8005
197	0.426533369	853782.9946
198	0.4256919855	852210.7762
199	0.4243264068	851206.5279
200	0.4234768324	850500.607
201	0.4226996591	849538.6731
202	0.4217537276	848414.9149
203	0.4209051511	847819.844
204	0.4199939093	847267.858
205	0.4194684107	846225.5236
206	0.4185362258	845169.1158
207	0.4178452958	844252.2221
208	0.4171352101	843185.2929
209	0.4163925278	842079.8057
210	0.4155513259	841153.3203
211	0.414361132	840408.8192
212	0.4134981672	839139.1175
213	0.4130000764	838296.9802
214	0.4121928085	837493.4294
215	0.4110947142	836812.4953
216	0.4103391966	835742.2158
217	0.4092095331	834792.1811
218	0.4083483403	834107.4722
219	0.4075102156	832776.4327
220	0.4067152568	832204.0561
221	0.4061007706	830888.4588
222	0.4055591499	830174.9345
223	0.4048283057	829463.0039
224	0.4036883061	828706.8203
225	0.4030708138	827704.5281
226	0.402261113	827220.0914
227	0.4015534193	826498.1364
228	0.4006890456	825544.8655
229	0.3998159903	824776.0026
230	0.3995147215	824273.3245
231	0.3988020988	823623.7864
232	0.3981643617	822767.4861
233	0.3973383336	822220.7438
234	0.3963069993	821423.0194
235	0.395356287	820734.3711
236	0.394689916	820048.7537
237	0.3941820308	819465.7903
238	0.3933874818	818799.7971
239	0.3928944588	818190.1496
240	0.3921052198	817730.0273
241	0.391713958	817139.4361
242	0.3910355487	816462.5693
243	0.3902527255	816019.6227
244	0.3894861495	815476.6889
245	0.3888917448	814552.3474
246	0.3884810394	813785.8337
247	0.3881838759	812985.8375
248	0.3876561469	812338.8402
249	0.3871487888	811736.1655
250	0.3867032757	810966.1184
251	0.3860622373	810363.0453
252	0.385500658	809895.2103
253	0.3851383948	809290.6406
254	0.3849630717	808667.6558
255	0.3844887596	808111.9504
256	0.3842433742	807508.184
257	0.3837923316	806967.0775
258	0.3830520862	806181.0039
259	0.3822638993	805645.8948
260	0.3818644309	804945.3311
261	0.3813603504	803531.7261
262	0.3807770364	803085.486
263	0.3802870755	802473.5418
264	0.3797217653	802071.0876
265	0.3792153771	800635.2842
266	0.3789171403	800171.9418
267	0.3785758244	799640.3264
268	0.3781621763	798874.3574
269	0.3776033842	798267.2148
270	0.377301793	797671.2744
271	0.3768155958	797423.7194
272	0.3764597276	796557.6486
273	0.3760611667	796215.7896
274	0.3757074566	795538.024
275	0.3753040153	795235.2516
276	0.3751698469	794736.5696
277	0.3747837828	794323.2607
278	0.3744469914	793999.6526
279	0.3738050313	793352.0433
280	0.3731189343	792896.8268
281	0.3726990232	792643.4714
282	0.3722554921	792155.3743
283	0.3716908307	791902.8534
284	0.3714586573	791260.4818
285	0.3708270596	790738.1577
286	0.3706804901	790290.4753
287	0.370184025	788889.4105
288	0.3699222021	788372.1645
289	0.3696208455	787947.7247
290	0.3694094907	787576.4934
291	0.369070295	787130.6807
292	0.368610187	786862.0262
293	0.368231911	785699.4296
294	0.3679481736	785157.7314
295	0.3676846039	784862.667
296	0.3673165105	784610.3717
297	0.3670762201	784130.0064
298	0.3667914356	783416.5097
299	0.3662097771	782841.3331
300	0.3659498342	782369.3112
301	0.3653704425	782118.2286
302	0.3649928521	781666.017
303	0.3643797656	780995.2479
304	0.3638195608	780615.8514
305	0.3634149659	780288.9121
306	0.3630915307	779862.2311
307	0.3628866535	779306.2637
308	0.3627666399	778821.8982
309	0.362361091	777450.6423
310	0.3619291501	776896.9711
311	0.361500687	776529.984
312	0.3612301617	776146.6959
313	0.3606341914	775758.2112
314	0.3605415968	775349.2874
315	0.3601687891	774698.588
316	0.3599316002	773934.3035
317	0.3595862803	773586.5399
318	0.3591672865	773238.3042
319	0.358834436	772986.0243
320	0.3586310741	772694.8384
321	0.3583075456	772277.221
322	0.3581356039	771757.2512
323	0.357679868	771279.208
324	0.3573732901	770988.434
325	0.3571312345	770372.9734
326	0.3566865674	770089.6705
327	0.3563628613	768801.3906
328	0.3557604522	768151.0508
329	0.3555484144	767422.7961
330	0.3552898045	767076.0618
331	0.3552031908	766322.875
332	0.3548099376	765989.2997
333	0.3545551664	765731.4531
334	0.3544110995	765498.7671
335	0.3542301833	765208.8577
336	0.3540010544	764859.1717
337	0.353883868	764440.5527
338	0.353545129	763964.1892
339	0.353464473	763461.9125
340	0.3532094501	763147.4623
341	0.3530002516	762998.4454
342	0.3528220216	762531.9248
343	0.3527431637	762247.567
344	0.3526060943	761841.6447
345	0.3525269645	761070.439
346	0.3522961551	760467.9634
347	0.3521373659	760165.5584
348	0.3518284919	759893.1838
