iter	Passed	Remaining
407	5486	61745
408	5499	61734
409	5512	61713
410	5525	61696
411	5538	61680
412	5552	61670
413	5566	61658
414	5580	61652
415	5594	61651
416	5609	61648
417	5623	61641
418	5637	61635
419	5650	61617
420	5663	61600
421	5677	61588
422	5690	61575
423	5704	61565
424	5719	61565
425	5732	61551
426	5744	61523
427	5757	61503
428	5770	61488
429	5783	61470
430	5797	61462
431	5811	61454
432	5825	61441
433	5838	61429
434	5851	61406
435	5865	61396
436	5878	61385
437	5892	61378
438	5905	61353
439	5917	61325
440	5929	61295
441	5942	61283
442	5956	61271
443	5969	61253
444	5984	61254
445	5998	61248
446	6011	61236
447	6026	61230
448	6040	61222
449	6053	61210
450	6067	61195
451	6081	61191
452	6095	61181
453	6108	61167
454	6121	61149
455	6135	61142
456	6150	61136
457	6164	61130
458	6178	61121
459	6192	61114
460	6206	61104
461	6220	61099
462	6234	61094
463	6247	61078
464	6260	61055
465	6273	61040
466	6287	61028
467	6300	61017
468	6314	61004
469	6328	60997
470	6342	60991
471	6356	60977
472	6369	60960
473	6382	60947
474	6395	60926
475	6407	60894
476	6418	60865
477	6431	60845
478	6444	60824
479	6456	60800
480	6469	60781
481	6483	60768
482	6496	60755
483	6509	60741
484	6524	60737
485	6537	60724
486	6551	60715
487	6565	60704
488	6579	60697
489	6594	60694
490	6607	60678
491	6620	60658
492	6633	60642
493	6646	60622
494	6659	60608
495	6673	60598
496	6687	60592
497	6701	60578
498	6715	60574
499	6729	60564
500	6743	60555
501	6757	60551
502	6771	60542
503	6786	60541
504	6800	60531
505	6813	60512
506	6827	60506
507	6841	60497
508	6855	60486
509	6868	60473
510	6882	60464
511	6896	60450
512	6909	60435
513	6923	60423
514	6937	60415
515	6950	60403
516	6963	60383
517	6976	60368
518	6990	60356
519	7004	60350
520	7019	60342
521	7033	60333
522	7047	60327
523	7061	60321
524	7075	60306
525	7088	60292
526	7102	60279
527	7115	60264
528	7128	60246
529	7141	60234
530	7154	60216
531	7168	60202
532	7182	60196
533	7196	60187
534	7209	60170
535	7222	60152
536	7236	60138
537	7250	60131
538	7263	60117
539	7277	60107
540	7290	60089
541	7304	60079
542	7317	60066
543	7331	60057
544	7345	60041
545	7358	60029
546	7372	60018
547	7384	59988
548	7395	59955
549	7408	59940
550	7421	59923
551	7434	59904
552	7447	59892
553	7461	59880
554	7474	59867
555	7488	59856
556	7502	59841
557	7515	59831
558	7529	59816
559	7542	59804
560	7557	59798
561	7571	59793
562	7585	59780
563	7598	59767
564	7613	59760
565	7627	59749
566	7640	59738
567	7653	59720
568	7667	59706
569	7680	59689
570	7693	59677
571	7707	59662
572	7720	59650
573	7735	59644
574	7748	59631
575	7763	59626
576	7776	59614
577	7791	59606
578	7805	59602
579	7820	59596
580	7834	59591
581	7848	59580
582	7863	59573
583	7876	59555
584	7889	59538
585	7903	59530
586	7916	59517
587	7929	59500
588	7944	59492
589	7957	59482
590	7971	59469
591	7985	59457
592	7999	59448
593	8013	59442
594	8027	59431
595	8041	59420
596	8055	59409
597	8069	59399
598	8083	59387
599	8096	59373
600	8110	59362
601	8123	59346
602	8137	59334
603	8150	59317
604	8164	59312
605	8177	59296
606	8191	59282
607	8204	59268
608	8218	59257
609	8232	59245
610	8246	59233
611	8258	59213
612	8272	59199
613	8286	59194
614	8300	59180
615	8313	59168
616	8326	59145
617	8338	59127
618	8352	59114
619	8361	59070
620	8369	59015
621	8378	58972
622	8388	58934
623	8396	58885
624	8407	58850
625	8418	58822
626	8431	58806
627	8443	58779
628	8454	58751
629	8467	58733
630	8480	58720
631	8494	58707
632	8507	58693
633	8520	58678
634	8534	58664
635	8547	58651
636	8561	58638
637	8575	58631
638	8589	58619
639	8602	58603
640	8615	58589
641	8629	58575
642	8641	58557
643	8654	58539
644	8667	58525
645	8681	58509
646	8695	58501
647	8708	58489
648	8722	58479
649	8737	58476
650	8750	58460
651	8765	58452
652	8778	58437
653	8791	58424
654	8805	58411
655	8819	58402
656	8833	58390
657	8847	58382
658	8860	58367
659	8874	58354
660	8888	58344
661	8901	58327
662	8913	58308
663	8927	58299
664	8941	58289
665	8955	58279
666	8969	58268
667	8983	58255
668	8996	58241
669	9010	58230
670	9024	58220
671	9037	58206
672	9050	58192
673	9065	58182
674	9078	58166
675	9091	58151
676	9104	58136
677	9118	58127
678	9133	58122
679	9147	58114
680	9160	58099
681	9174	58084
682	9186	58067
683	9200	58056
684	9216	58059
685	9231	58052
686	9245	58045
687	9259	58031
688	9272	58017
689	9286	58005
690	9299	57989
691	9313	57981
692	9327	57968
693	9340	57951
694	9351	57926
695	9366	57920
696	9378	57902
697	9391	57884
698	9403	57857
699	9414	57832
700	9427	57816
701	9441	57802
702	9454	57789
703	9467	57775
704	9480	57758
705	9494	57746
706	9507	57732
707	9520	57715
708	9534	57705
709	9548	57693
710	9562	57682
711	9575	57670
712	9590	57664
713	9604	57651
714	9617	57636
715	9630	57619
716	9644	57610
717	9659	57606
718	9673	57594
719	9686	57578
720	9699	57562
721	9712	57550
722	9726	57538
723	9740	57527
724	9754	57520
725	9769	57512
726	9782	57498
727	9796	57484
728	9810	57474
729	9823	57459
730	9837	57448
731	9850	57436
732	9864	57421
733	9878	57411
734	9892	57403
735	9905	57385
736	9919	57376
737	9931	57357
738	9944	57341
739	9958	57330
740	9972	57316
741	9985	57301
742	9999	57290
743	10013	57279
744	10026	57265
745	10040	57254
746	10053	57238
747	10066	57224
748	10079	57207
749	10093	57196
750	10107	57185
751	10120	57171
752	10134	57159
753	10148	57148
754	10162	57139
755	10176	57129
756	10189	57112
757	10202	57099
758	10216	57087
759	10230	57075
760	10244	57066
761	10258	57053
762	10271	57040
763	10285	57029
764	10299	57016
765	10313	57005
766	10326	56991
767	10337	56961
768	10347	56929
769	10358	56902
770	10370	56881
771	10383	56864
772	10396	56850
773	10409	56835
774	10422	56818
775	10435	56805
776	10447	56784
777	10460	56768
778	10473	56750
779	10487	56741
780	10501	56730
781	10515	56720
782	10529	56708
783	10542	56692
784	10556	56681
785	10569	56668
786	10584	56658
787	10597	56644
788	10611	56632
789	10624	56620
790	10637	56602
791	10649	56580
792	10663	56570
793	10675	56552
794	10690	56543
795	10704	56533
796	10718	56524
797	10731	56510
798	10744	56494
799	10759	56486
800	10773	56475
801	10787	56464
802	10800	56451
803	10814	56441
804	10828	56427
805	10842	56418
806	10856	56405
807	10870	56395
808	10883	56379
809	10896	56366
810	10910	56353
811	10923	56339
812	10937	56331
813	10952	56324
814	10967	56315
815	10980	56304
816	10993	56286
817	11006	56269
818	11019	56253
819	11032	56240
820	11045	56222
821	11059	56212
822	11072	56197
823	11085	56182
824	11099	56170
825	11115	56168
826	11134	56184
827	11150	56181
828	11164	56171
829	11178	56164
830	11192	56151
831	11205	56135
832	11218	56120
833	11232	56108
834	11245	56092
835	11260	56084
836	11274	56074
837	11287	56062
838	11302	56053
839	11315	56039
840	11330	56030
841	11344	56020
842	11358	56008
843	11371	55995
844	11384	55980
845	11396	55961
846	11409	55944
847	11422	55927
848	11436	55914
849	11450	55906
850	11463	55889
851	11477	55876
852	11490	55862
853	11503	55847
854	11517	55836
855	11531	55825
856	11545	55812
857	11558	55800
858	11572	55787
859	11585	55771
860	11598	55755
861	11611	55742
862	11625	55730
863	11639	55719
864	11652	55704
865	11666	55690
866	11679	55678
867	11693	55665
868	11706	55650
869	11721	55643
870	11734	55627
871	11748	55615
872	11762	55606
873	11776	55594
874	11790	55583
875	11804	55574
876	11819	55566
877	11833	55555
878	11846	55541
879	11860	55528
880	11874	55516
881	11888	55506
882	11902	55494
883	11916	55483
884	11945	55545
885	11959	55533
886	11975	55530
887	11989	55519
888	12004	55511
889	12018	55501
890	12032	55492
891	12047	55482
892	12061	55470
893	12074	55456
894	12088	55444
895	12102	55433
896	12116	55422
897	12131	55414
898	12145	55406
899	12159	55392
900	12172	55379
901	12187	55370
902	12201	55358
903	12215	55349
904	12229	55335
905	12242	55321
906	12255	55306
907	12268	55291
908	12282	55276
909	12295	55263
910	12309	55252
911	12323	55239
912	12336	55222
913	12348	55202
914	12361	55186
915	12375	55174
916	12387	55157
917	12401	55143
918	12414	55129
919	12425	55106
920	12439	55094
921	12452	55078
922	12465	55061
923	12478	55047
924	12493	55037
925	12506	55023
926	12519	55009
927	12532	54990
928	12545	54974
929	12557	54958
930	12572	54948
931	12584	54930
932	12598	54917
933	12612	54906
934	12625	54891
935	12639	54878
936	12651	54860
937	12665	54849
938	12679	54837
939	12693	54823
940	12708	54817
941	12722	54804
942	12736	54794
943	12749	54778
944	12762	54765
945	12776	54753
946	12789	54738
947	12803	54724
948	12817	54713
949	12831	54702
950	12844	54689
951	12858	54674
952	12872	54665
953	12886	54651
954	12900	54641
955	12914	54628
956	12927	54614
957	12941	54601
958	12954	54586
959	12968	54575
960	12981	54560
961	12994	54545
962	13008	54531
963	13022	54522
964	13033	54498
965	13045	54478
966	13056	54454
967	13069	54438
968	13081	54416
969	13094	54403
970	13106	54384
971	13120	54371
972	13133	54354
973	13145	54337
974	13159	54323
975	13172	54309
976	13185	54295
977	13198	54280
978	13212	54266
979	13225	54250
980	13239	54239
981	13253	54227
982	13267	54215
983	13280	54203
984	13294	54189
985	13305	54168
986	13315	54140
987	13327	54118
988	13338	54095
989	13351	54079
990	13365	54070
991	13380	54060
992	13393	54044
993	13406	54031
994	13420	54017
995	13433	54005
996	13446	53988
997	13460	53977
998	13474	53964
999	13487	53951
1000	13502	53942
1001	13516	53930
1002	13530	53917
1003	13544	53910
1004	13557	53893
1005	13570	53876
1006	13582	53859
1007	13596	53845
1008	13609	53829
1009	13621	53813
1010	13634	53797
1011	13648	53783
1012	13661	53770
1013	13676	53761
1014	13690	53752
1015	13703	53736
1016	13718	53725
1017	13731	53711
1018	13744	53696
1019	13758	53683
1020	13771	53670
1021	13785	53658
1022	13799	53646
1023	13812	53632
1024	13826	53621
1025	13840	53609
1026	13853	53594
1027	13866	53578
1028	13880	53566
1029	13894	53554
1030	13908	53541
1031	13921	53528
1032	13935	53516
1033	13948	53500
1034	13962	53488
1035	13974	53471
1036	13988	53457
1037	14002	53447
1038	14015	53432
1039	14029	53419
1040	14043	53406
1041	14056	53392
1042	14071	53384
1043	14085	53373
1044	14098	53359
1045	14111	53344
1046	14125	53333
1047	14139	53320
1048	14152	53304
1049	14165	53290
1050	14178	53273
1051	14191	53258
1052	14203	53240
1053	14216	53225
1054	14230	53211
1055	14243	53197
1056	14256	53183
1057	14271	53173
1058	14284	53159
1059	14295	53137
1060	14307	53118
1061	14320	53102
1062	14334	53090
1063	14348	53080
1064	14361	53064
1065	14375	53053
1066	14389	53041
1067	14403	53027
1068	14416	53014
1069	14430	53001
1070	14444	52988
1071	14457	52975
1072	14470	52960
1073	14484	52949
1074	14499	52938
1075	14513	52926
1076	14526	52914
1077	14540	52900
1078	14553	52886
1079	14567	52874
1080	14580	52858
1081	14594	52848
1082	14607	52831
1083	14619	52814
1084	14633	52800
1085	14646	52786
1086	14660	52774
1087	14673	52758
1088	14687	52747
1089	14700	52734
1090	14713	52717
1091	14726	52702
1092	14739	52688
1093	14753	52674
1094	14766	52660
1095	14779	52644
1096	14793	52634
1097	14806	52618
1098	14819	52601
1099	14832	52588
1100	14846	52574
1101	14859	52562
1102	14874	52551
1103	14887	52538
1104	14900	52524
1105	14915	52512
1106	14929	52503
1107	14943	52491
1108	14957	52478
1109	14971	52466
1110	14984	52452
1111	14998	52439
1112	15011	52427
1113	15025	52413
1114	15038	52398
1115	15052	52386
1116	15065	52372
1117	15079	52360
1118	15093	52346
1119	15105	52330
1120	15119	52317
1121	15131	52301
1122	15143	52281
1123	15155	52262
1124	15169	52249
1125	15182	52236
1126	15196	52224
1127	15210	52210
1128	15223	52197
1129	15237	52185
1130	15251	52171
1131	15264	52156
1132	15278	52145
1133	15290	52128
1134	15303	52112
1135	15316	52098
1136	15330	52085
1137	15343	52070
1138	15356	52056
1139	15370	52043
1140	15383	52028
1141	15397	52016
1142	15410	52003
1143	15424	51990
1144	15438	51979
1145	15452	51966
1146	15466	51954
1147	15479	51940
1148	15493	51928
1149	15507	51916
1150	15520	51902
1151	15534	51890
1152	15548	51879
1153	15563	51869
1154	15577	51856
1155	15590	51842
1156	15604	51829
1157	15618	51817
1158	15632	51807
1159	15645	51793
1160	15659	51781
1161	15673	51769
1162	15687	51756
1163	15701	51743
1164	15714	51729
1165	15728	51717
1166	15741	51703
1167	15754	51688
1168	15767	51673
1169	15781	51660
1170	15794	51647
1171	15808	51634
1172	15821	51619
1173	15835	51607
1174	15849	51595
1175	15863	51583
1176	15877	51570
1177	15890	51557
1178	15904	51543
1179	15917	51528
1180	15930	51514
1181	15944	51501
1182	15957	51486
1183	15971	51474
1184	15984	51460
1185	15997	51445
1186	16010	51431
1187	16024	51417
1188	16037	51404
1189	16051	51391
1190	16064	51378
1191	16078	51364
1192	16092	51351
1193	16104	51334
1194	16118	51323
1195	16131	51308
1196	16144	51293
1197	16157	51277
1198	16169	51261
1199	16182	51243
1200	16193	51223
1201	16205	51206
1202	16219	51193
1203	16233	51182
1204	16247	51169
1205	16260	51154
1206	16272	51137
1207	16285	51120
1208	16298	51105
1209	16311	51090
1210	16325	51078
1211	16338	51065
1212	16352	51051
1213	16365	51037
1214	16379	51024
1215	16392	51011
1216	16406	50998
1217	16419	50984
1218	16433	50972
1219	16446	50957
1220	16461	50946
1221	16474	50933
1222	16488	50921
1223	16501	50906
1224	16515	50894
1225	16529	50882
1226	16542	50868
1227	16556	50854
1228	16569	50841
1229	16582	50826
1230	16596	50812
1231	16610	50802
1232	16623	50787
1233	16636	50773
1234	16650	50759
1235	16666	50753
1236	16680	50741
1237	16693	50727
1238	16706	50711
1239	16718	50694
1240	16732	50682
1241	16747	50672
1242	16763	50668
1243	16779	50662
1244	16792	50647
1245	16807	50639
1246	16821	50626
1247	16835	50614
1248	16849	50601
1249	16863	50589
1250	16877	50578
1251	16891	50567
1252	16904	50552
1253	16917	50536
1254	16930	50522
1255	16944	50510
1256	16958	50496
1257	16971	50483
1258	16985	50469
1259	16998	50454
1260	17011	50442
1261	17024	50426
1262	17038	50413
1263	17051	50400
1264	17065	50386
1265	17079	50374
1266	17092	50360
1267	17106	50347
1268	17119	50334
1269	17133	50321
1270	17146	50307
1271	17161	50296
1272	17175	50284
1273	17188	50271
1274	17202	50257
1275	17215	50243
1276	17230	50233
1277	17240	50210
1278	17250	50187
1279	17259	50160
1280	17269	50135
1281	17282	50121
1282	17294	50104
1283	17307	50088
1284	17319	50072
1285	17333	50058
1286	17346	50045
1287	17360	50032
1288	17373	50018
1289	17387	50005
1290	17401	49994
1291	17416	49984
1292	17430	49972
1293	17445	49963
1294	17459	49951
1295	17472	49937
1296	17486	49925
1297	17499	49910
1298	17512	49896
1299	17526	49882
1300	17539	49869
1301	17553	49855
1302	17566	49841
1303	17580	49829
1304	17594	49816
1305	17607	49801
1306	17620	49788
1307	17635	49777
1308	17648	49763
1309	17662	49750
1310	17676	49739
1311	17690	49727
1312	17704	49716
1313	17718	49703
1314	17731	49688
1315	17745	49675
1316	17758	49661
1317	17771	49647
1318	17785	49635
1319	17798	49620
1320	17812	49608
1321	17826	49596
1322	17841	49585
1323	17855	49574
1324	17868	49560
1325	17882	49547
1326	17895	49533
1327	17909	49521
1328	17923	49509
1329	17936	49495
1330	17950	49482
1331	17964	49470
1332	17977	49456
1333	17991	49442
1334	18004	49429
1335	18018	49416
1336	18032	49405
1337	18045	49390
1338	18058	49375
